Tjänstekategori;Tjänstegrupp;Tjänst;Sign. Tj.Äg;Tj.nr;SV;PV;TV;Produkter/Aktiviteter;Beskrivning;Prismodell;Debiteringsintervall;Pris;Volym;Årsintäkt HK;Tjänsteägare;Processledare;Samverkan;KPI:er;Processbeskrivning (J/N);Processen dokumenterad (J/N)
Praktikerservice;HR;Konflikthantering & krisstöd personal;Ja;;Bas;Bas;Bas;;;Fast avgift per anställd;;;;0;Tomas Esping;Åsa Lundqvist;;;;
Praktikerservice;HR;Lönetjänst;Ja;;Bas;Bas;Bas;Personalanmälan;;Fast avgift per anställd;;;;0;Tomas Esping;Shqiponje Ferati;;;;
Praktikerservice;HR;Lönetjänst;Ja;;Bas;Bas;Bas;Utbetalning av lön och ersättningar samt löneförmåner;;Fast avgift per lönespec;;;;0;Tomas Esping;Shqiponje Ferati;;;;
Praktikerservice;HR;Lönetjänst;Ja;;Bas;Bas;Bas;Körjournal;;Fast avgift per lönespec;;;;0;Tomas Esping;Shqiponje Ferati;;;;
Praktikerservice;HR;Lönetjänst;Ja;;Bas;Bas;Bas;Handlägga lönejustering;;Fast avgift per lönespec;;;;0;Tomas Esping;Shqiponje Ferati;;;;
Praktikerservice;HR;Lönetjänst;Ja;;Bas;Bas;Bas;Handlägga Frånvaro (Föräldrarledig, Semester, Sjukfrånvaro, Tjänstledighet);;Fast avgift per anställd;;;;0;Tomas Esping;Shqiponje Ferati;;;;
Praktikerservice;HR;Lönetjänst;Ja;;Bas;Bas;Bas;Handläggga löneutmätning enligt beslut från Kronofogden;;Fast avgift per anställd;;;;0;Tomas Esping;Shqiponje Ferati;;;;
Praktikerservice;HR;Lönetjänst;Ja;;Bas;Bas;Bas;Rekvivering av lönebidrag, anst.stöd mm;;Fast avgift per anställd;;;;0;Tomas Esping;Shqiponje Ferati;;;;
Praktikerservice;HR;Lönetjänst;Ja;;Bas;Bas;Bas;Support lönefrågor;;Fast avgift per anställd;;;;0;Tomas Esping;Shqiponje Ferati;;;;
Praktikerservice;HR;Lönetjänst;Ja;;Bas;Bas;Bas;Löneredovisning vid bruttolöneavdrag;;Fast avgift per anställd;;;;0;Tomas Esping;Shqiponje Ferati;;;;
Praktikerservice;HR;Lönetjänst;Ja;;Bas;Bas;Bas;Kontoavstämningar;;Fast avgift per anställd;;;;0;Tomas Esping;Shqiponje Ferati;;;;
Praktikerservice;HR;Lönetjänst;Ja;;Bas;Bas;Bas;Redovisning av arbetsgivardeklaration & kontrolluppgifter samt betalning av skatter och avgifter;;Fast avgift per anställd;;;;0;Tomas Esping;Shqiponje Ferati;;;;
Praktikerservice;HR;Lönetjänst - Direktutbetalning till anställd;Ja;;Plus;Plus;Plus;Tilläggsdebitering för direktutbetalning av lön/ersättning till anställd;;Fast pris per styck;;;;0;Tomas Esping;Shqiponje Ferati;;;;
Praktikerservice;HR;Lönetjänst - Extrautbetalning till anställd;Ja;;Plus;Plus;Plus;Tilläggsdebitering för extra utbetalning av lön/ersättning till anställd;;Fast pris per styck;;;;0;Tomas Esping;Shqiponje Ferati;;;;
Praktikerservice;HR;Lönetjänst - utredning;Ja;;Bas;Bas;Bas;Utredningar;;Fast avgift per anställd;;;;;Tomas Esping;Shqiponje Ferati;;;;
Praktikerservice;HR;Lönetjänst medarbetare lönerevision;Ja;;Bas;Bas;Bas;Stöd vid lönesättning i samband med lönerevision;;Fast avgift per anställd;;;;0;Tomas Esping;Shqiponje Ferati;;;;
Praktikerservice;HR;Lönesättning medarbetare utanför lönerevision;Ja;;Bas;Bas;Bas;Stöd vid lönesättning utanför lönerevision.;;Fast avgift per anställd;;;;0;Tomas Esping;Shqiponje Ferati;;;;
Praktikerservice;Pension;Pension anställda;;;Bas;Bas;Bas;Tjänstepension anställda ;Administration av tjänstepension för anställda och före detta anställda (ITP-planen och Avtalspension SAF-LO);Påslag på sociala avgifter;;;;;Tomas Esping;Björn Folke;;;;
Praktikerservice;Pension;Pension praktiker - Bas;;;Bas;Bas;Bas;Obligatorisk tjänstepension praktiker PTP;Administration av obligatorisk tjänstepension för anställda och före detta anställda praktiker (PTP-planen och ensidiga arbetsgivarutfästelser);Påslag på sociala avgifter;;;;;Tomas Esping;Björn Folke;;;;
Praktikerservice;Pension;Pension praktiker - Bas;;;Bas;Bas;Bas;Frivillig tjänstepension Pratiker Reglemente I&II;Administration av frivillig tjänstepension för anställda och före detta anställda praktiker (Reglemente I&II);Påslag på sociala avgifter;;;;;Tomas Esping;Björn Folke;;;;
Praktikerservice;Pension;Pension praktiker- Bas;;;Bas;Bas;Bas;FÅP;"Administration av frivillig överenskommelse om förtida ålderspension; FÅP, för anställda och före detta praktiker";Påslag på sociala avgifter;;;;;Tomas Esping;Björn Folke;;;;
Praktikerservice;Pension;Pension praktiker- Bas;;;Bas;Bas;Bas;Obligatorisk tjänstepension för anställda och före detta anställda praktiker (3P);Administration av obligatorisk tjänstepension för anställda och före detta anställda praktiker (3P);Påslag på sociala avgifter;;;;;Tomas Esping;Björn Folke;;;;
